CustomerId,total_sessions,total_energy,avg_energy,avg_duration,dc_sessions,dc_fraction,unique_chargers,loyalty_ratio,primary_cluster,secondary_persona
00HLAS76E7,10,226.171,22.6171,0.6285555555555555,10,1.0,4,2.5,-1,residential
0434C50AD86380,20,449.555,22.47775,2.7673194444444444,7,0.35,4,5.0,-1,residential
04493232C05B85,119,2691.941,22.621352941176468,0.6603781512605041,119,1.0,13,9.153846153846152,-1,residential
045FFA0AD86380,1,25.261,25.261,0.5397222222222222,1,1.0,1,1.0,0,
0490C70AD86380,6,96.042,16.007,0.5318055555555555,6,1.0,4,1.5,-1,residential
04948A12126884,36,481.75,13.381944444444445,0.459429012345679,30,0.8333333333333334,11,3.272727272727273,-1,residential
04CAD732C05B80,3,74.19200000000001,24.730666666666668,0.7081481481481481,3,1.0,2,1.5,0,
04F42B0AD86380,3,64.09,21.363333333333333,3.340925925925926,0,0.0,2,1.5,1,
0A809933,50,1355.997,27.11994,0.7152944444444445,50,1.0,1,50.0,-1,industrial
0G5O9F1V60,70,2243.125,32.044642857142854,0.8843769841269842,69,0.9857142857142858,10,7.0,-1,residential
1JTT5LXPG9,13,403.345,31.026538461538458,14.554123931623932,1,0.0769230769230769,13,1.0,-1,residential
1T87I1OOPM,16,422.144,26.384,0.6745138888888889,15,0.9375,5,3.2,-1,
201MJ21NNS,8,155.108,19.3885,6.384027777777778,0,0.0,7,1.1428571428571428,-1,
2035526,11,340.258,30.93254545454545,4.185530303030303,0,0.0,5,2.2,-1,residential
2035846,1,3.24,3.24,0.0513888888888888,1,1.0,1,1.0,0,residential
2046662,2,24.094,12.047,0.4962499999999999,2,1.0,1,2.0,9,
2056496,11,43.721,3.974636363636363,2.845681818181818,0,0.0,5,2.2,-1,
2070758,2,40.885000000000005,20.442500000000003,8.395833333333332,0,0.0,2,1.0,1,
2097764,2,72.394,36.197,3.2751388888888893,1,0.5,2,1.0,-1,residential
2101165,4,206.688,51.672,11.208055555555555,0,0.0,1,4.0,-1,residential
2122938,10,48.524,4.8524,6.1569722222222225,0,0.0,2,5.0,-1,residential
2124453,7,320.088,45.72685714285715,8.923531746031745,0,0.0,3,2.3333333333333335,-1,
2124544,10,476.467,47.6467,2.6165,0,0.0,2,5.0,-1,
2146130,36,639.626,17.76738888888889,2.0677623456790126,13,0.3611111111111111,6,6.0,-1,residential
2160228,5,177.32,35.464,5.280611111111111,0,0.0,2,2.5,-1,
2161121,4,109.523,27.380750000000003,1.109375,2,0.5,4,1.0,2,residential
2175193,4,19.53,4.8825,0.75625,0,0.0,2,2.0,1,residential
2190093,5,35.733000000000004,7.146600000000001,0.3281111111111111,4,0.8,3,1.6666666666666667,-1,residential
2219061,3,100.02,33.34,0.6981481481481482,3,1.0,1,3.0,-1,
2226849,2,0.21,0.105,0.0315277777777777,0,0.0,1,2.0,1,
2226939,8,213.305,26.663125,7.783090277777777,0,0.0,1,8.0,-1,
2228228,9,288.507,32.056333333333335,8.535864197530865,0,0.0,4,2.25,-1,
2239147,7,102.421,14.631571428571428,1.5664682539682542,2,0.2857142857142857,5,1.4,-1,
2239860,3,20.616,6.872,1.862314814814815,0,0.0,3,1.0,1,residential
2240397,17,46.256,2.720941176470588,1.115718954248366,0,0.0,12,1.4166666666666667,-1,residential
2241958,8,227.173,28.396625,4.807951388888889,0,0.0,3,2.6666666666666665,-1,
2251237,2,40.808,20.404,3.4611111111111112,0,0.0,2,1.0,1,
2255323,2,50.089,25.0445,0.4575,2,1.0,2,1.0,0,industrial
2259416,58,1583.392,27.299862068965517,0.6488649425287356,56,0.9655172413793104,4,14.5,-1,
2260631,57,1751.178,30.722421052631574,7.3454239766081875,0,0.0,3,19.0,-1,
2267381,1,13.21,13.21,0.3883333333333333,1,1.0,1,1.0,0,residential
2268563,11,183.949,16.722636363636365,9.143737373737371,0,0.0,3,3.6666666666666665,-1,
2272090,2,13.408,6.704000000000001,37.64819444444444,0,0.0,2,1.0,-1,residential
2275831,2,38.523,19.2615,1.776388888888889,0,0.0,2,1.0,1,
